,registration,milage,duration,fee,emission,consumption,horsepower,brand,model,gear,fuel
64,53,105750.0,48.0,255.85,120.0,5.0,116.0,Volkswagen,Golf VW Variant TDI SCR,Manuelle Schaltung,Diesel
65,50,135173.0,48.0,362.57,124.0,6.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
66,34,73940.0,48.0,437.7,125.0,6.0,150.0,Volkswagen,Passat VW Variant Business TDI SCR DSG,Automatik,Diesel
67,52,57909.0,48.0,242.28,115.0,5.0,86.0,Seat,Leon Kombi Reference TSI,Manuelle Schaltung,Benzin
68,31,43620.0,48.0,604.6,99.0,4.0,204.0,Audi,A4 Limousine 40 TDI S line quattro,Automatik,Diesel
69,35,39941.0,48.0,299.72,120.0,5.0,125.0,Ford,"Focus Traveller 1.0 ECO LED,Navi,WSS+SHZ",Manuelle Schaltung,Benzin
70,0,15.0,48.0,423.18,135.0,5.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
71,3,25.0,48.0,904.15,113.0,4.0,150.0,Skoda,Kodiaq ŠKODA 4x4 SPORTLINE TDI DSG,Automatik,Diesel
72,4,201.0,48.0,379.66,135.0,5.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
73,23,26189.0,48.0,445.8,129.0,5.0,110.0,Audi,A3 Sportback 30 TFSI intense,Manuelle Schaltung,Benzin
74,0,15.0,48.0,414.94,151.0,7.0,120.0,Hyundai,"i30 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
75,29,20020.0,48.0,374.9,105.0,5.0,125.0,Ford,"Puma 1,0 EcoBoost Hybrid ST-Line",Manuelle Schaltung,Benzin
76,35,46669.0,48.0,374.27,116.0,4.0,120.0,Opel,Crossland X 1.5 CDTI BlueIn. Innovation Start/Stop,Automatik,Diesel
77,0,15.0,48.0,429.01,135.0,5.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
78,2,0.0,48.0,755.81,195.0,9.0,150.0,Audi,Q3 Sportback 35 TDI,Manuelle Schaltung,Diesel
