,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
8346,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"469,00 €",300 PS,221 kW,Benzin,125 g/km,"5,5 l/100 km"
8347,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"231,00 €",110 PS,81 kW,Benzin,31 g/km,"1,4 l/100 km"
8348,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",28.675 km,03/2022,36 Monate (anpassbar),"470,00 €",286 PS,210 kW,Diesel,121 g/km,"5,4 l/100 km"
8349,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"323,68 €",150 PS,110 kW,Benzin,144 g/km,"5,5 l/100 km"
8350,Seat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"212,00 €",110 PS,81 kW,Benzin,143 g/km,"6,3 l/100 km"
8351,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"210,00 €",130 PS,96 kW,Benzin,149 g/km,"6,6 l/100 km"
8352,Hyundai,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"349,90 €",280 PS,206 kW,Benzin,128 g/km,"5,9 l/100 km"
8353,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",15 km,01/2023,30 Monate (anpassbar),"149,00 €",75 PS,55 kW,Benzin,139 g/km,"4,9 l/100 km"
8354,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"295,07 €",160 PS,118 kW,Benzin,143 g/km,"5,1 l/100 km"
8355,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",23.150 km,04/2022,48 Monate (anpassbar),"474,00 €",150 PS,110 kW,Diesel,206 g/km,"9,0 l/100 km"
8356,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"269,00 €",131 PS,96 kW,Benzin,120 g/km,"5,4 l/100 km"
8357,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"529,00 €",150 PS,110 kW,Benzin,36 g/km,"1,7 l/100 km"
8358,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"347,00 €",150 PS,110 kW,Benzin,141 g/km,"6,3 l/100 km"
8359,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",8 km,Neuwagen,48 Monate (anpassbar),"222,00 €",110 PS,81 kW,Benzin,128 g/km,"5,6 l/100 km"
8360,Alpine,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"699,00 €",300 PS,221 kW,Benzin,130 g/km,"5,7 l/100 km"
8361,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"398,00 €",150 PS,110 kW,Benzin,139 g/km,"5,3 l/100 km"
8362,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"857,00 €",400 PS,294 kW,Benzin,117 g/km,"5,1 l/100 km"
8363,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"223,00 €",140 PS,103 kW,Benzin,154 g/km,"6,8 l/100 km"
8364,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"389,00 €",150 PS,110 kW,Benzin,144 g/km,"6,4 l/100 km"
