,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
2803,Ora Funky Cat,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,42 Monate (anpassbar),"245,00 €",171 PS,126 kW,Elektro,133 g/km,"5,9 l/100 km"
2804,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"349,48 €",156 PS,115 kW,Elektro,176 g/km,"6,7 l/100 km"
2805,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,18 Monate (anpassbar),"297,00 €",150 PS,110 kW,Benzin,102 g/km,"4,5 l/100 km"
2806,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"266,00 €",150 PS,110 kW,Benzin,128 g/km,"5,6 l/100 km"
2807,Citroën,5.000 km (anpassbar),"0,00 € (anpassbar)",1 km,Neuwagen,48 Monate (anpassbar),"334,16 €",136 PS,100 kW,Elektro,120 g/km,"5,3 l/100 km"
2808,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",26.799 km,03/2022,36 Monate (anpassbar),"475,00 €",286 PS,210 kW,Diesel,128 g/km,"5,4 l/100 km"
2809,Kia,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"157,28 €",101 PS,74 kW,Benzin,136 g/km,"6,0 l/100 km"
2810,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",10 km,12/2022,60 Monate (anpassbar),"229,00 €",140 PS,103 kW,Andere,161 g/km,"7,0 l/100 km"
2811,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"239,00 €",129 PS,95 kW,Benzin,126 g/km,"5,6 l/100 km"
2812,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"201,10 €",140 PS,103 kW,Benzin,153 g/km,"6,8 l/100 km"
2813,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"207,06 €",150 PS,110 kW,Benzin,1 g/km,"1,0 l/100 km"
2814,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"349,00 €",150 PS,110 kW,Andere,149 g/km,"6,8 l/100 km"
2815,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",6.490 km,03/2023,24 Monate (anpassbar),"219,45 €",101 PS,74 kW,Benzin,,
2816,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"221,72 €",131 PS,96 kW,Benzin,138 g/km,"6,1 l/100 km"
2817,Renault,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"339,15 €",131 PS,96 kW,Elektro,124 g/km,"6,4 l/100 km"
2818,Jeep,10.000 km (anpassbar),"0,00 € (anpassbar)",49 km,02/2023,60 Monate (anpassbar),"229,00 €",130 PS,96 kW,Benzin,120 g/km,"5,3 l/100 km"
2819,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"199,00 €",95 PS,70 kW,Benzin,121 g/km,"5,4 l/100 km"
2820,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"249,00 €",129 PS,95 kW,Benzin,155 g/km,"6,9 l/100 km"
2821,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"239,00 €",131 PS,96 kW,Benzin,178 g/km,"6,8 l/100 km"
2822,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"329,01 €",150 PS,110 kW,Benzin,143 g/km,"6,3 l/100 km"
2823,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",10 km,Neuwagen,48 Monate (anpassbar),"232,00 €",140 PS,103 kW,Benzin,,
2824,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"359,19 €",170 PS,125 kW,Elektro,64 g/km,"3,8 l/100 km"
2825,Alfa Romeo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"284,95 €",160 PS,118 kW,Benzin,123 g/km,"5,4 l/100 km"
2826,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"284,41 €",150 PS,110 kW,Benzin,,
2827,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",28.744 km,04/2022,36 Monate (anpassbar),"467,00 €",204 PS,150 kW,Diesel,39 g/km,"1,7 l/100 km"
2828,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"229,00 €",92 PS,68 kW,Hybrid,132 g/km,"5,8 l/100 km"
2829,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"341,82 €",136 PS,100 kW,Elektro,139 g/km,"6,2 l/100 km"
2830,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"189,00 €",95 PS,70 kW,Benzin,176 g/km,"6,7 l/100 km"
2831,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"329,00 €",150 PS,110 kW,Benzin,,
2832,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"265,00 €",129 PS,95 kW,Benzin,108 g/km,"4,8 l/100 km"
2833,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",8.224 km,06/2022,36 Monate (anpassbar),"649,00 €",286 PS,210 kW,Diesel,126 g/km,"5,6 l/100 km"
2834,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"162,61 €",72 PS,53 kW,Benzin,113 g/km,"4,9 l/100 km"
2835,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",21.886 km,06/2022,36 Monate (anpassbar),"521,00 €",286 PS,210 kW,Diesel,138 g/km,"6,1 l/100 km"
2836,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"355,48 €",156 PS,115 kW,Elektro,237 g/km,"8,9 l/100 km"
2837,Hyundai,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"155,00 €",101 PS,74 kW,Benzin,118 g/km,"5,2 l/100 km"
2838,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",3 km,Neuwagen,48 Monate (anpassbar),"259,00 €",150 PS,110 kW,Benzin,145 g/km,"5,8 l/100 km"
2839,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"415,31 €",170 PS,125 kW,Diesel,114 g/km,"4,8 l/100 km"
2840,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",50 km,03/2023,60 Monate (anpassbar),"209,00 €",110 PS,81 kW,Benzin,152 g/km,"6,7 l/100 km"
2841,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",100 km,02/2023,24 Monate (anpassbar),"189,00 €",101 PS,74 kW,Benzin,135 g/km,"5,9 l/100 km"
2842,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"148,75 €",72 PS,53 kW,Benzin,139 g/km,"5,3 l/100 km"
2843,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"374,00 €",150 PS,110 kW,Benzin,150 g/km,"5,7 l/100 km"
2844,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"209,00 €",110 PS,81 kW,Benzin,125 g/km,"5,0 l/100 km"
2845,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"271,63 €",136 PS,100 kW,Elektro,131 g/km,"5,8 l/100 km"
2846,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",33.211 km,04/2022,36 Monate (anpassbar),"474,00 €",204 PS,150 kW,Diesel,151 g/km,"5,3 l/100 km"
2847,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"658,00 €",204 PS,150 kW,Diesel,141 g/km,"6,0 l/100 km"
2848,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"185,00 €",80 PS,59 kW,Benzin,176 g/km,"6,7 l/100 km"
2849,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"219,00 €",130 PS,96 kW,Benzin,140 g/km,"5,3 l/100 km"
2850,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"266,00 €",110 PS,81 kW,Benzin,143 g/km,"6,0 l/100 km"
2851,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"270,00 €",110 PS,81 kW,Benzin,117 g/km,"5,1 l/100 km"
2852,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",17.399 km,03/2022,36 Monate (anpassbar),"499,00 €",286 PS,210 kW,Diesel,192 g/km,"8,5 l/100 km"
2853,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",27.400 km,07/2022,36 Monate (anpassbar),"425,00 €",204 PS,150 kW,Diesel,,
2854,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"184,45 €",150 PS,110 kW,Benzin,119 g/km,"5,0 l/100 km"
2855,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"149,00 €",65 PS,48 kW,Benzin,125 g/km,"5,5 l/100 km"
2856,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"368,00 €",310 PS,228 kW,Benzin,151 g/km,"6,7 l/100 km"
2857,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"469,00 €",184 PS,135 kW,Elektro,119 g/km,"4,5 l/100 km"
2858,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"199,00 €",95 PS,70 kW,Benzin,130 g/km,"5,0 l/100 km"
2859,Seat,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"201,11 €",95 PS,70 kW,Benzin,123 g/km,"4,7 l/100 km"
2860,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"375,00 €",150 PS,110 kW,Benzin,150 g/km,"6,8 l/100 km"
2861,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"349,00 €",150 PS,110 kW,Diesel,97 g/km,"4,3 l/100 km"
2862,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",8 km,Neuwagen,48 Monate (anpassbar),"199,00 €",95 PS,70 kW,Benzin,,
2863,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"389,00 €",150 PS,110 kW,Diesel,147 g/km,"5,6 l/100 km"
2864,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"239,00 €",125 PS,92 kW,Benzin,121 g/km,"5,3 l/100 km"
2865,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"437,47 €",228 PS,168 kW,Elektro,129 g/km,"4,6 l/100 km"
2866,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"234,00 €",140 PS,103 kW,Benzin,139 g/km,"6,1 l/100 km"
2867,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"196,35 €",140 PS,103 kW,Benzin,151 g/km,"6,3 l/100 km"
2868,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"320,00 €",150 PS,110 kW,Benzin,130 g/km,"4,9 l/100 km"
2869,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"511,31 €",325 PS,239 kW,Elektro,117 g/km,"4,9 l/100 km"
2870,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"128,52 €",65 PS,48 kW,Benzin,130 g/km,"5,7 l/100 km"
2871,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"249,00 €",131 PS,96 kW,Benzin,144 g/km,"6,4 l/100 km"
2872,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",10 km,12/2022,60 Monate (anpassbar),"194,00 €",91 PS,67 kW,Andere,120 g/km,"5,3 l/100 km"
2873,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"201,11 €",130 PS,96 kW,Benzin,149 g/km,"6,6 l/100 km"
2874,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"205,00 €",90 PS,66 kW,Benzin,142 g/km,"5,6 l/100 km"
2875,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"309,00 €",150 PS,110 kW,Benzin,119 g/km,"5,2 l/100 km"
2876,Volvo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"475,85 €",197 PS,145 kW,Diesel,145 g/km,"6,0 l/100 km"
2877,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"264,00 €",110 PS,81 kW,Benzin,138 g/km,"6,1 l/100 km"
2878,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"247,00 €",110 PS,81 kW,Benzin,159 g/km,"7,0 l/100 km"
2879,Jeep,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"355,48 €",156 PS,115 kW,Elektro,134 g/km,"5,9 l/100 km"
2880,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"325,58 €",151 PS,111 kW,Elektro,140 g/km,"5,3 l/100 km"
2881,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"212,68 €",131 PS,96 kW,Benzin,146 g/km,"5,0 l/100 km"
2882,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"689,00 €",265 PS,195 kW,Benzin,168 g/km,"6,4 l/100 km"
2883,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"235,00 €",131 PS,96 kW,Benzin,125 g/km,"5,4 l/100 km"
2884,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",19.827 km,06/2022,36 Monate (anpassbar),"529,00 €",204 PS,150 kW,Diesel,141 g/km,"6,2 l/100 km"
2885,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"365,00 €",150 PS,110 kW,Diesel,112 g/km,"4,9 l/100 km"
2886,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"399,00 €",200 PS,147 kW,Diesel,134 g/km,"5,9 l/100 km"
2887,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"228,00 €",110 PS,81 kW,Benzin,135 g/km,"6,3 l/100 km"
2888,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"341,33 €",230 PS,169 kW,Hybrid,133 g/km,"5,9 l/100 km"
2889,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"299,00 €",150 PS,110 kW,Benzin,129 g/km,"4,6 l/100 km"
2890,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",5 km,10/2022,36 Monate (anpassbar),"319,00 €",131 PS,96 kW,Benzin,140 g/km,"6,2 l/100 km"
2891,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"222,00 €",110 PS,81 kW,Benzin,139 g/km,"6,1 l/100 km"
2892,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"508,77 €",325 PS,239 kW,Elektro,133 g/km,"5,8 l/100 km"
2893,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"719,95 €",204 PS,150 kW,Andere,130 g/km,"6,0 l/100 km"
2894,DS Automobiles,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"325,00 €",131 PS,96 kW,Benzin,124 g/km,"5,5 l/100 km"
2895,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"304,64 €",150 PS,110 kW,Benzin,,
2896,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"236,81 €",131 PS,96 kW,Benzin,132 g/km,"5,9 l/100 km"
2897,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",50 km,09/2022,24 Monate (anpassbar),"209,00 €",110 PS,81 kW,Andere,175 g/km,"6,7 l/100 km"
2898,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"169,00 €",100 PS,74 kW,Benzin,146 g/km,"5,0 l/100 km"
2899,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"508,77 €",325 PS,239 kW,Elektro,102 g/km,"3,9 l/100 km"
2900,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",50 km,11/2022,48 Monate (anpassbar),"197,00 €",129 PS,95 kW,Hybrid,117 g/km,"5,1 l/100 km"
2901,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"499,00 €",200 PS,147 kW,Diesel,133 g/km,"5,3 l/100 km"
2902,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"365,00 €",150 PS,110 kW,Diesel,139 g/km,"6,2 l/100 km"
2903,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",11.349 km,04/2022,48 Monate (anpassbar),"332,00 €",150 PS,110 kW,Diesel,124 g/km,"5,5 l/100 km"
2904,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"257,00 €",130 PS,96 kW,Benzin,,
2905,Renault,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"237,00 €",140 PS,103 kW,Hybrid,117 g/km,"4,5 l/100 km"
2906,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"135,60 €",67 PS,49 kW,Benzin,130 g/km,"5,7 l/100 km"
2907,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"296,00 €",150 PS,110 kW,Benzin,135 g/km,"6,0 l/100 km"
2908,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",28.859 km,04/2021,48 Monate (anpassbar),"374,01 €",204 PS,150 kW,Diesel,169 g/km,"7,5 l/100 km"
2909,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"185,00 €",95 PS,70 kW,Benzin,143 g/km,"5,1 l/100 km"
2910,Hyundai,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"469,00 €",229 PS,168 kW,Elektro,163 g/km,"7,2 l/100 km"
2911,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"355,81 €",245 PS,180 kW,Benzin,127 g/km,"5,6 l/100 km"
2912,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"374,00 €",150 PS,110 kW,Benzin,144 g/km,"6,4 l/100 km"
2913,Renault,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"439,11 €",131 PS,96 kW,Elektro,167 g/km,"6,5 l/100 km"
2914,Kia,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"261,65 €",150 PS,110 kW,Benzin,124 g/km,"5,5 l/100 km"
2915,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"636,65 €",313 PS,230 kW,Elektro,130 g/km,"6,0 l/100 km"
2916,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",8.804 km,06/2022,36 Monate (anpassbar),"599,00 €",204 PS,150 kW,Diesel,175 g/km,"6,7 l/100 km"
2917,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"303,22 €",150 PS,110 kW,Benzin,31 g/km,"1,4 l/100 km"
2918,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",2.500 km,09/2022,24 Monate (anpassbar),"209,00 €",110 PS,81 kW,Andere,140 g/km,"5,3 l/100 km"
2919,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"498,00 €",200 PS,147 kW,Benzin,128 g/km,"5,7 l/100 km"
2920,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"352,24 €",300 PS,221 kW,Benzin,130 g/km,"5,7 l/100 km"
2921,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",17.442 km,06/2022,36 Monate (anpassbar),"449,00 €",204 PS,150 kW,Diesel,158 g/km,"6,0 l/100 km"
2922,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,24 Monate (anpassbar),"201,11 €",130 PS,96 kW,Benzin,139 g/km,"6,2 l/100 km"
2923,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"189,00 €",131 PS,96 kW,Benzin,174 g/km,"7,7 l/100 km"
2924,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"210,63 €",110 PS,81 kW,Benzin,122 g/km,"5,4 l/100 km"
2925,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"282,03 €",150 PS,110 kW,Benzin,159 g/km,"7,0 l/100 km"
2926,Hyundai,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"304,96 €",136 PS,100 kW,Elektro,145 g/km,"6,4 l/100 km"
2927,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"760,41 €",265 PS,195 kW,Andere,122 g/km,"4,6 l/100 km"
2928,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"752,08 €",265 PS,195 kW,Andere,152 g/km,"6,7 l/100 km"
2929,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",23.900 km,04/2022,36 Monate (anpassbar),"498,61 €",265 PS,195 kW,Benzin,124 g/km,"5,5 l/100 km"
2930,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"296,00 €",150 PS,110 kW,Benzin,108 g/km,"4,7 l/100 km"
2931,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",17.155 km,04/2022,36 Monate (anpassbar),"435,00 €",204 PS,150 kW,Diesel,139 g/km,"6,2 l/100 km"
2932,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"326,00 €",150 PS,110 kW,Benzin,117 g/km,"5,1 l/100 km"
2933,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"164,22 €",95 PS,70 kW,Benzin,134 g/km,"4,9 l/100 km"
2934,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"194,00 €",95 PS,70 kW,Benzin,,
2935,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"248,71 €",150 PS,110 kW,Benzin,136 g/km,"6,6 l/100 km"
2936,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"149,00 €",91 PS,67 kW,Benzin,136 g/km,"5,4 l/100 km"
2937,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",3 km,Neuwagen,48 Monate (anpassbar),"214,00 €",110 PS,81 kW,Benzin,135 g/km,"6,0 l/100 km"
2938,Alfa Romeo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"389,00 €",160 PS,118 kW,Benzin,102 g/km,"4,5 l/100 km"
2939,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"271,00 €",131 PS,96 kW,Benzin,118 g/km,"4,5 l/100 km"
2940,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",27.150 km,03/2022,36 Monate (anpassbar),"489,99 €",286 PS,210 kW,Diesel,126 g/km,"5,5 l/100 km"
2941,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"299,00 €",140 PS,103 kW,Benzin,153 g/km,"6,8 l/100 km"
2942,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",19.199 km,03/2022,36 Monate (anpassbar),"349,00 €",204 PS,150 kW,Diesel,138 g/km,"6,1 l/100 km"
2943,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"183,11 €",90 PS,66 kW,Benzin,126 g/km,"5,5 l/100 km"
2944,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"264,75 €",131 PS,96 kW,Benzin,170 g/km,"6,5 l/100 km"
2945,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"269,00 €",150 PS,110 kW,Benzin,110 g/km,"4,9 l/100 km"
2946,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"248,00 €",110 PS,81 kW,Benzin,,
